foundation_name,foundation_ein,tax_year,grantee_name,grantee_city,grantee_state,grant_amount,grant_purpose_raw,grant_bucket,region_relevant,source_file,grantee_country,foundation_country,source_system,grant_amount_cash,grant_amount_in_kind,currency,fiscal_year,reporting_period
THE CONSECON FOUNDATION,830918298RR0001,2024,Reaching for Rainbows Children's Program,Picton,ON,5000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,5000.0,0.0,CAD,2024,FY 2024
THE CONSECON FOUNDATION,830918298RR0001,2023,Yellowstone to Yukon Conservation Initiative Foundation,Canmore,AB,100000.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,100000.0,0.0,CAD,2023,FY 2023
THE CONSECON FOUNDATION,830918298RR0001,2023,Toronto Zoo Wildlife Conservancy,Toronto,ON,100000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,100000.0,0.0,CAD,2023,FY 2023
THE CONSECON FOUNDATION,830918298RR0001,2023,Clean Prosperity Foundation,Toronto,ON,100000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,100000.0,0.0,CAD,2023,FY 2023
THE CONSECON FOUNDATION,830918298RR0001,2023,WCS Wildlife Conservation Society Canada,Toronto,ON,85000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,85000.0,0.0,CAD,2023,FY 2023
THE CONSECON FOUNDATION,830918298RR0001,2023,Nature Canada,Ottawa,ON,80000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,80000.0,0.0,CAD,2023,FY 2023
THE CONSECON FOUNDATION,830918298RR0001,2023,Wildsight,Kimberley,BC,77000.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,77000.0,0.0,CAD,2023,FY 2023
THE CONSECON FOUNDATION,830918298RR0001,2023,The Earth Rangers Foundation,Woodbridge,ON,75000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,75000.0,0.0,CAD,2023,FY 2023
THE CONSECON FOUNDATION,830918298RR0001,2023,Environment Funders Canada,Toronto,ON,60000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,60000.0,0.0,CAD,2023,FY 2023
THE CONSECON FOUNDATION,830918298RR0001,2023,Ontario Farmland Trust,Guelph,ON,53333.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,53333.0,0.0,CAD,2023,FY 2023
THE CONSECON FOUNDATION,830918298RR0001,2023,Canadian Parks and Wilderness Society,Ottawa,ON,50000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,50000.0,0.0,CAD,2023,FY 2023
THE CONSECON FOUNDATION,830918298RR0001,2023,MaRS Discovery District,Toronto,ON,50000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,50000.0,0.0,CAD,2023,FY 2023
THE CONSECON FOUNDATION,830918298RR0001,2023,Makeway Foundation,Vancouver,BC,30000.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,30000.0,0.0,CAD,2023,FY 2023
THE CONSECON FOUNDATION,830918298RR0001,2023,Gord Martineau Foundation,Etobicoke,ON,25000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,25000.0,0.0,CAD,2023,FY 2023
THE CONSECON FOUNDATION,830918298RR0001,2023,Ecojustice Canada Society,Vancouver,BC,25000.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,25000.0,0.0,CAD,2023,FY 2023
THE CONSECON FOUNDATION,830918298RR0001,2023,Green Communities Foundation,Peterborough,ON,25000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,25000.0,0.0,CAD,2023,FY 2023
THE CONSECON FOUNDATION,830918298RR0001,2023,Pembina Institute for Appropriate Development,Calgary,AB,25000.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,25000.0,0.0,CAD,2023,FY 2023
THE CONSECON FOUNDATION,830918298RR0001,2023,Small Change Fund,Toronto,ON,20000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,20000.0,0.0,CAD,2023,FY 2023
THE CONSECON FOUNDATION,830918298RR0001,2023,Greenbelt Foundation,Toronto,ON,15000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,15000.0,0.0,CAD,2023,FY 2023
THE CONSECON FOUNDATION,830918298RR0001,2023,Prince Edward Point Bird Observatory,Picton,ON,5000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,5000.0,0.0,CAD,2023,FY 2023
THE CONSECON FOUNDATION,830918298RR0001,2022,Rethink Charity Foundation,Vancouverr,BC,125000.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,125000.0,0.0,CAD,2022,FY 2022
THE CONSECON FOUNDATION,830918298RR0001,2022,The Earth Rangers Foundation,Woodbridge,ON,75000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,75000.0,0.0,CAD,2022,FY 2022
THE CONSECON FOUNDATION,830918298RR0001,2022,Environment Funders Canada,Toronto,ON,55000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,55000.0,0.0,CAD,2022,FY 2022
THE CONSECON FOUNDATION,830918298RR0001,2022,Yellowstone to Yukon Conservation Initiative Foundation,Canmore,AB,50025.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,50025.0,0.0,CAD,2022,FY 2022
THE CONSECON FOUNDATION,830918298RR0001,2022,Toronto Zoo Wildlife Conservancy,Toronto,ON,50000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,50000.0,0.0,CAD,2022,FY 2022
THE CONSECON FOUNDATION,830918298RR0001,2022,Nature Canada,Ottawa,ON,40000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,40000.0,0.0,CAD,2022,FY 2022
THE CONSECON FOUNDATION,830918298RR0001,2022,Island Nature Trust,Charlottetown,PE,35000.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,35000.0,0.0,CAD,2022,FY 2022
THE CONSECON FOUNDATION,830918298RR0001,2022,Nature Quebec,Quebec,QC,34700.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,34700.0,0.0,CAD,2022,FY 2022
THE CONSECON FOUNDATION,830918298RR0001,2022,Wildsight,Kimberley,BC,30000.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,30000.0,0.0,CAD,2022,FY 2022
THE CONSECON FOUNDATION,830918298RR0001,2022,Salt Spring Institute for Sustainability Education & Action,Salt Spring Island,BC,30000.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,30000.0,0.0,CAD,2022,FY 2022
THE CONSECON FOUNDATION,830918298RR0001,2022,Environmental Defence Canada Inc,Toronto,ON,30000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,30000.0,0.0,CAD,2022,FY 2022
THE CONSECON FOUNDATION,830918298RR0001,2022,South Shore Joint Initiative,Bloomfield,ON,25000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,25000.0,0.0,CAD,2022,FY 2022
THE CONSECON FOUNDATION,830918298RR0001,2022,Green Communities Foundation,Peterborough,ON,25000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,25000.0,0.0,CAD,2022,FY 2022
THE CONSECON FOUNDATION,830918298RR0001,2022,WCS Wildlife Conservation Society Canada,Toronto,ON,25000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,25000.0,0.0,CAD,2022,FY 2022
THE CONSECON FOUNDATION,830918298RR0001,2022,Gord Martineau Foundation,Etobicoke,ON,25000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,25000.0,0.0,CAD,2022,FY 2022
THE CONSECON FOUNDATION,830918298RR0001,2022,The David Suzuki Foundation,Vancouver,BC,25000.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,25000.0,0.0,CAD,2022,FY 2022
THE CONSECON FOUNDATION,830918298RR0001,2022,Ecojustice Canada Society,Vancouver,BC,25000.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,25000.0,0.0,CAD,2022,FY 2022
THE CONSECON FOUNDATION,830918298RR0001,2022,Canadian Parks and Wilderness Society,Ottawa,ON,23000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,23000.0,0.0,CAD,2022,FY 2022
THE CONSECON FOUNDATION,830918298RR0001,2022,Small Change Fund,Toronto,ON,10000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,10000.0,0.0,CAD,2022,FY 2022
THE CONSECON FOUNDATION,830918298RR0001,2022,Ontario Farmland Trust,Guelph,ON,10000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,10000.0,0.0,CAD,2022,FY 2022
THE CONSECON FOUNDATION,830918298RR0001,2022,Seedchange,Ottawa,ON,5000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,5000.0,0.0,CAD,2022,FY 2022
THE CONSECON FOUNDATION,830918298RR0001,2021,Canadian Parks and Wilderness Society,Ottawa,ON,87334.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,87334.0,0.0,CAD,2021,FY 2021
THE CONSECON FOUNDATION,830918298RR0001,2021,Environment Funders Canada,Toronto,ON,80000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,80000.0,0.0,CAD,2021,FY 2021
THE CONSECON FOUNDATION,830918298RR0001,2021,The Nature Conservancy of Canada,Toronto,ON,75000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,75000.0,0.0,CAD,2021,FY 2021
THE CONSECON FOUNDATION,830918298RR0001,2021,The Earth Rangers Foundation,Woodbridge,ON,75000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,75000.0,0.0,CAD,2021,FY 2021
THE CONSECON FOUNDATION,830918298RR0001,2021,Pembina Institute for Appropriate Development,Calgary,AB,50000.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,50000.0,0.0,CAD,2021,FY 2021
THE CONSECON FOUNDATION,830918298RR0001,2021,Island Nature Trust,Charlottetown,PE,35000.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,35000.0,0.0,CAD,2021,FY 2021
THE CONSECON FOUNDATION,830918298RR0001,2021,Yellowstone to Yukon Conservation Initiative Foundation,Canmore,AB,35000.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,35000.0,0.0,CAD,2021,FY 2021
THE CONSECON FOUNDATION,830918298RR0001,2021,Greenbelt Foundation,Toronto,ON,35000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,35000.0,0.0,CAD,2021,FY 2021
THE CONSECON FOUNDATION,830918298RR0001,2021,The Riverwood Conservancy,Mississauga,ON,32000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,32000.0,0.0,CAD,2021,FY 2021
THE CONSECON FOUNDATION,830918298RR0001,2021,Wildsight,Kimberley,BC,30000.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,30000.0,0.0,CAD,2021,FY 2021
THE CONSECON FOUNDATION,830918298RR0001,2021,WCS Wildlife Conservation Society Canada,Toronto,ON,30000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,30000.0,0.0,CAD,2021,FY 2021
THE CONSECON FOUNDATION,830918298RR0001,2021,Prince Edward Point Bird Observatory,Milford,ON,27000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,27000.0,0.0,CAD,2021,FY 2021
THE CONSECON FOUNDATION,830918298RR0001,2021,The Sustainability Network,Toronto,ON,25000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,25000.0,0.0,CAD,2021,FY 2021
THE CONSECON FOUNDATION,830918298RR0001,2021,The Couchiching Conservancy,Orillia,ON,20000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,20000.0,0.0,CAD,2021,FY 2021
THE CONSECON FOUNDATION,830918298RR0001,2021,Nature Canada,Ottawa,ON,20000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,20000.0,0.0,CAD,2021,FY 2021
THE CONSECON FOUNDATION,830918298RR0001,2021,Ecojustice Canada Society,Vancouver,BC,15000.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,15000.0,0.0,CAD,2021,FY 2021
THE CONSECON FOUNDATION,830918298RR0001,2021,Ontario Farmland Trust,Guelph,ON,10000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,10000.0,0.0,CAD,2021,FY 2021
THE CONSECON FOUNDATION,830918298RR0001,2021,Government of PEI,Charlottetown,PE,8833.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,8833.0,0.0,CAD,2021,FY 2021
THE CONSECON FOUNDATION,830918298RR0001,2021,Seedchange,Ottawa,ON,5000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,5000.0,0.0,CAD,2021,FY 2021
THE CONSECON FOUNDATION,830918298RR0001,2020,Canadian Parks and Wilderness Society,Ottawa,ON,132084.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,132084.0,0.0,CAD,2020,FY 2020
THE CONSECON FOUNDATION,830918298RR0001,2020,The Earth Rangers Foundation,Woodbridge,ON,75000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,75000.0,0.0,CAD,2020,FY 2020
THE CONSECON FOUNDATION,830918298RR0001,2020,Pembina Institute for Appropriate Development,Calgary,AB,75000.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,75000.0,0.0,CAD,2020,FY 2020
THE CONSECON FOUNDATION,830918298RR0001,2020,Environment Funders Canada,Toronto,ON,72000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,72000.0,0.0,CAD,2020,FY 2020
THE CONSECON FOUNDATION,830918298RR0001,2020,Miawpukek First Nation,Conne River,NL,40000.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,40000.0,0.0,CAD,2020,FY 2020
THE CONSECON FOUNDATION,830918298RR0001,2020,Island Nature Trust,Charlottetown,PE,35000.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,35000.0,0.0,CAD,2020,FY 2020
THE CONSECON FOUNDATION,830918298RR0001,2020,Environmental Defence Canada Inc,Toronto,ON,32000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,32000.0,0.0,CAD,2020,FY 2020
THE CONSECON FOUNDATION,830918298RR0001,2020,Wildsight,Kimberley,BC,30000.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,30000.0,0.0,CAD,2020,FY 2020
THE CONSECON FOUNDATION,830918298RR0001,2020,The Schad Foundation,Woodbridge,ON,25000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,25000.0,0.0,CAD,2020,FY 2020
THE CONSECON FOUNDATION,830918298RR0001,2020,Ecojustice Canada Society,Vancouver,BC,25000.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,25000.0,0.0,CAD,2020,FY 2020
THE CONSECON FOUNDATION,830918298RR0001,2020,Nature Quebec,Quebec,QC,24834.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,24834.0,0.0,CAD,2020,FY 2020
THE CONSECON FOUNDATION,830918298RR0001,2020,WCS Wildlife Conservation Society Canada,Toronto,ON,20000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,20000.0,0.0,CAD,2020,FY 2020
THE CONSECON FOUNDATION,830918298RR0001,2020,Yellowstone to Yukon Conservation Initiative Foundation,Canmore,AB,15000.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,15000.0,0.0,CAD,2020,FY 2020
THE CONSECON FOUNDATION,830918298RR0001,2020,Greenbelt Foundation,Toronto,ON,15000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,15000.0,0.0,CAD,2020,FY 2020
THE CONSECON FOUNDATION,830918298RR0001,2020,The Couchiching Conservancy,Orillia,ON,10000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,10000.0,0.0,CAD,2020,FY 2020
THE CONSECON FOUNDATION,830918298RR0001,2020,Ontario Farmland Trust,Guelph,ON,7500.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,7500.0,0.0,CAD,2020,FY 2020
THE CONSECON FOUNDATION,830918298RR0001,2020,The Sustainability Network,Toronto,ON,5000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,5000.0,0.0,CAD,2020,FY 2020
THE CONSECON FOUNDATION,830918298RR0001,2019,CODE,Ottawa,ON,520000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,520000.0,0.0,CAD,2019,FY 2019
THE CONSECON FOUNDATION,830918298RR0001,2019,The Nature Conservancy of Canada,Toronto,ON,125000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,125000.0,0.0,CAD,2019,FY 2019
THE CONSECON FOUNDATION,830918298RR0001,2019,Canadian Parks and Wilderness Society,Ottawa,ON,67167.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,67167.0,0.0,CAD,2019,FY 2019
THE CONSECON FOUNDATION,830918298RR0001,2019,The Centre for Security Governance,Kitchener,ON,60000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,60000.0,0.0,CAD,2019,FY 2019
THE CONSECON FOUNDATION,830918298RR0001,2019,Island Nature Trust,Charlottetown,,35000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,35000.0,0.0,CAD,2019,FY 2019
THE CONSECON FOUNDATION,830918298RR0001,2019,Nature Canada,Ottawa,ON,25000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,25000.0,0.0,CAD,2019,FY 2019
THE CONSECON FOUNDATION,830918298RR0001,2019,The Pembina Institute,Calgary,AB,20000.0,,ca_t3010,False,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,20000.0,0.0,CAD,2019,FY 2019
THE CONSECON FOUNDATION,830918298RR0001,2019,Ontario Farmland Trust,Guelph,ON,7500.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,7500.0,0.0,CAD,2019,FY 2019
THE CONSECON FOUNDATION,830918298RR0001,2018,CODE,OTTAWA,ON,879905.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,879905.0,0.0,CAD,2018,FY 2018
THE CONSECON FOUNDATION,830918298RR0001,2018,SB CENTRE FOR SECURITY GOVERNANCE,KITCHENER,ON,60000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,60000.0,0.0,CAD,2018,FY 2018
THE CONSECON FOUNDATION,830918298RR0001,2017,CODE,TORONTO,ON,1138481.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,1138481.0,0.0,CAD,2017,FY 2017
THE CONSECON FOUNDATION,830918298RR0001,2016,CODE,TORONTO,ON,654127.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,654127.0,0.0,CAD,2016,FY 2016
THE CONSECON FOUNDATION,830918298RR0001,2015,CODE,TORONTO,ON,500000.0,,ca_t3010,True,consecon-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,500000.0,0.0,CAD,2015,FY 2015
DE GASPE BEAUBIEN FOUNDATION LA FONDATION DE GASPE BEAUBIEN,893626242RR0001,2024,AQUAACTION,MONTRÉAL,QC,970000.0,,ca_t3010,True,de-gaspe-beaubien-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,970000.0,0.0,CAD,2024,FY 2024
DE GASPE BEAUBIEN FOUNDATION LA FONDATION DE GASPE BEAUBIEN,893626242RR0001,2024,KITSELAS FIRST NATION (KITSELAS VILLAGE COUNCIL),TERRACE,BC,54340.0,,ca_t3010,False,de-gaspe-beaubien-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,54340.0,0.0,CAD,2024,FY 2024
DE GASPE BEAUBIEN FOUNDATION LA FONDATION DE GASPE BEAUBIEN,893626242RR0001,2024,ÉCOLE DE TECHNOLOGIE SUPÉRIEURE DIPLOMÉS ET PHILANTHROPIE (E,MONTRÉAL,QC,25000.0,,ca_t3010,True,de-gaspe-beaubien-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,25000.0,0.0,CAD,2024,FY 2024
DE GASPE BEAUBIEN FOUNDATION LA FONDATION DE GASPE BEAUBIEN,893626242RR0001,2024,MAISON PHOENIX,VAL-DAVID,QC,15000.0,,ca_t3010,True,de-gaspe-beaubien-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,15000.0,0.0,CAD,2024,FY 2024
DE GASPE BEAUBIEN FOUNDATION LA FONDATION DE GASPE BEAUBIEN,893626242RR0001,2024,COALITION NAVIGATION,RIVIÈRE-ROUGE,QC,5000.0,,ca_t3010,True,de-gaspe-beaubien-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,5000.0,0.0,CAD,2024,FY 2024
DE GASPE BEAUBIEN FOUNDATION LA FONDATION DE GASPE BEAUBIEN,893626242RR0001,2024,MAKEWAY FOUNDATION,VANCOUVER,BC,5000.0,,ca_t3010,False,de-gaspe-beaubien-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,5000.0,0.0,CAD,2024,FY 2024
DE GASPE BEAUBIEN FOUNDATION LA FONDATION DE GASPE BEAUBIEN,893626242RR0001,2024,ENVIRONMENT FUNDERS CANADA,TORONTO,ON,3650.0,,ca_t3010,True,de-gaspe-beaubien-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,3650.0,0.0,CAD,2024,FY 2024
DE GASPE BEAUBIEN FOUNDATION LA FONDATION DE GASPE BEAUBIEN,893626242RR0001,2024,FONDATION RIVIÈRE,MONTRÉAL,QC,2000.0,,ca_t3010,True,de-gaspe-beaubien-foundation-grants-raw.csv,CA,CA,CHARITYDATA_CA,2000.0,0.0,CAD,2024,FY 2024
